,PSOE,,PP,,VOX,,PODEMOS-IU,,ERC-SOBIRANISTES,,Cs,,JxCAT-JUNTS,,ECP-GUANYEM EL CANVI,,EAJ-PNV,,EH Bildu,,MÁS PAÍS-EQUO,,CUP-PR,,PODEMOS-EU,,CCa-PNC-NC,,NA+,,MÉS COMPROMÍS,,BNG,,PRC,,¡TERUEL EXISTE!,,PACMA,,MÁS PAÍS,,RECORTES CERO-GV,,PUM+J,,M PAÍS-CHA-EQUO,,MÉS-ESQUERRA,,AxSÍ,,PCPE,,PCTE,,GBAI,,UPL,,PCOE,,CpM,,EB,,ERPV,,XAV,,AVANT ADELANTE LOS VERDES,,VERDES,,PH,,I.Fem,,UIG-SOM-CUIDES,,SOMOS REGIÓN,,IZQP,,AHORA CANARIAS,,CONTIGO,,CHA,,PPSO,,EXTREMADURA UNIDA,,PDSJE,,P-LIB,,MAS,,UNIDOS SÍ-ACPS-Def,,PREPAL,,ANDECHA,,MDyC,,PYLN,,FE de las JONS,,AUNACV,,UNIÓN REGIONALISTA,,Canda,,FIA,,SOLIDARIA,,RISA,,centrados,,DPL,,IZAR,,C 21,,UDT,
Nombre de Provincia,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados
León                          ,"87,896",2,"74,672",1,"40,884",1,"27,478",0,0,0,"16,731",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,505",0,0,0,178,0,317,0,0,0,0,0,0,0,0,0,379,0,0,0,"9,588",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palencia                      ,"31,847",1,"34,195",2,"13,816",0,"7,746",0,0,0,"5,937",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,582,0,0,0,256,0,209,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salamanca                     ,"57,481",1,"67,715",2,"34,929",1,"13,608",0,0,0,"16,886",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,964,0,0,0,306,0,266,0,0,0,0,0,0,0,0,0,196,0,0,0,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Segovia                       ,"25,233",1,"28,057",1,"14,569",1,"7,901",0,0,0,"6,861",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462,0,0,0,191,0,133,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0
Soria                         ,"16,043",1,"15,247",1,"6,264",0,"3,517",0,0,0,"2,670",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0,0,95,0,95,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,466",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valladolid                    ,"94,384",2,"91,857",2,"56,353",1,"34,313",0,0,0,"26,947",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,088",0,0,0,594,0,586,0,0,0,0,0,0,0,223,0,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamora                        ,"32,747",1,"33,495",1,"17,036",1,"7,001",0,0,0,"6,835",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,0,0,0,129,0,143,0,0,0,0,0,0,0,0,0,120,0,0,0,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barcelona                     ,"638,319",8,"225,645",2,"184,715",2,0,0,"618,909",7,"174,124",2,"343,931",4,"452,482",5,0,0,0,0,0,0,"179,041",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"34,752",0,"41,826",0,"4,698",0,"1,577",0,0,0,0,0,0,0,"1,509",0,"1,587",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,005",0,0,0,0,0,"1,178",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Girona                        ,"52,723",1,"17,449",0,"18,489",0,0,0,"91,932",2,"13,869",0,"88,060",2,"33,710",1,0,0,0,0,0,0,"31,703",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,724",0,0,0,508,0,339,0,0,0,0,0,0,0,327,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lleida                        ,"29,983",1,"14,697",0,"9,312",0,0,0,"65,236",2,"7,128",0,"46,773",1,"16,337",0,0,0,0,0,0,0,"14,098",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,521",0,0,0,183,0,169,0,0,0,0,0,0,0,129,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
